location,date,total_deaths_per_million,,,,,,,,,,,,
Afghanistan,10/9/2022,194.192,,,,,,,,,,,,
Albania,10/9/2022,1255.469,,,,,,,,,,,,
Algeria,10/9/2022,155.711,,,,,,,,,,,,
Andorra,10/9/2022,1961.181,,,,,,,,,,,,
Angola,10/9/2022,55.559,,,,,,,,,,,,
Anguilla,10/9/2022,761.76,,,,,,,,,,,,
Antigua and Barbuda,10/9/2022,1555.46,,,,,,,,,,,,
Argentina,10/9/2022,2866.127,,,,,,,,,,,,
Armenia,10/9/2022,3103.576,,,,,,,,,,,,
Aruba,10/9/2022,2140.122,,,,,,,,,,,,
Australia,10/9/2022,556.535,,,,,,,,,,,,
Austria,10/9/2022,2317.62,,,,,,,,,,,,
Azerbaijan,10/9/2022,955.3,,,,,,,,,,,,
Bahamas,10/9/2022,2017.622,,,,,,,,,,,,
Bahrain,10/9/2022,1037.406,,,,,,,,,,,,
Bangladesh,10/9/2022,173.197,,,,,,,,,,,,
Barbados,10/9/2022,1977.24,,,,,,,,,,,,
Belarus,10/9/2022,743.148,,,,,,,,,,,,
Belgium,10/9/2022,2805.428,,,,,,,,,,,,
Belize,10/9/2022,1699.868,,,,,,,,,,,,
Benin,10/9/2022,12.541,,,,,,,,,,,,
Bermuda,10/9/2022,2305.835,,,,,,,,,,,,
Bhutan,10/9/2022,27.01,,,,,,,,,,,,
Bolivia,10/9/2022,1839.153,,,,,,,,,,,,
Bonaire Sint Eustatius and Saba,10/9/2022,1422.901,,,,,,,,,,,,
Bosnia and Herzegovina,10/9/2022,4919.071,,,,,,,,,,,,
Botswana,10/9/2022,1076.331,,,,,,,,,,,,
Brazil,10/9/2022,3195.19,,,,,,,,,,,,
British Virgin Islands,10/9/2022,2056.423,,,,,,,,,,,,
Brunei,10/9/2022,505.195,,,,,,,,,,,,
Bulgaria,10/9/2022,5467.139,,,,,,,,,,,,
Burkina Faso,10/9/2022,17.511,,,,,,,,,,,,
Burundi,10/9/2022,3.028,,,,,,,,,,,,
Cambodia,10/9/2022,184.218,,,,,,,,,,,,
Cameroon,10/9/2022,71.143,,,,,,,,,,,,
Canada,10/9/2022,1169.099,,,,,,,,,,,,
Cape Verde,10/9/2022,697.368,,,,,,,,,,,,
Cayman Islands,10/9/2022,425.619,,,,,,,,,,,,
Central African Republic,10/9/2022,20.707,,,,,,,,,,,,
Chad,10/9/2022,11.234,,,,,,,,,,,,
Chile,10/9/2022,3116.423,,,,,,,,,,,,
China,10/9/2022,3.665,,,,,,,,,,,,
Colombia,10/9/2022,2750.727,,,,,,,,,,,,
Comoros,10/9/2022,195.953,,,,,,,,,,,,
Congo,10/9/2022,66.143,,,,,,,,,,,,
Cook Islands,10/9/2022,58.813,,,,,,,,,,,,
Costa Rica,10/9/2022,1725.47,,,,,,,,,,,,
Cote d'Ivoire,10/9/2022,29.915,,,,,,,,,,,,
Croatia,10/9/2022,4135.823,,,,,,,,,,,,
Cuba,10/9/2022,757.793,,,,,,,,,,,,
Curacao,10/9/2022,1507.844,,,,,,,,,,,,
Cyprus,10/9/2022,1309.142,,,,,,,,,,,,
Czechia,10/9/2022,3891.825,,,,,,,,,,,,
Democratic Republic of Congo,10/9/2022,14.829,,,,,,,,,,,,
Denmark,10/9/2022,1190.248,,,,,,,,,,,,
Djibouti,10/9/2022,170.955,,,,,,,,,,,,
Dominica,10/9/2022,939.071,,,,,,,,,,,,
Dominican Republic,10/9/2022,394.32,,,,,,,,,,,,
Ecuador,10/9/2022,2015.762,,,,,,,,,,,,
Egypt,10/9/2022,226.94,,,,,,,,,,,,
